n,r,m
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:NEPHEW_OF],"(:Character {name: Thampi, description: An elder in his 60s, embodying traditional Kerala values. His attire is likely traditional Malayali, with a white mundu and shirt. His demeanor suggests a conservative, patriarchal figure, deeply rooted in local customs.})"
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:SON_OF],"(:Character {name: Sharadha, description: Nakulan's mother and a resident of Kolkata, exhibits a blend of traditional and modern styles, possibly favoring elegant sarees with a contemporary touch.})"
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:MOVED_TO],"(:Location {name: Madampalli, description: A grand Kerala-style mansion with an aura of age and mystery. The architecture is traditional, with woodwork, large verandas, and sloping tiled roofs. Surrounded by lush greenery, with a haunted reputation.})"
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:PROPOSED_TO],"(:Character {name: Sreedevi, description: In her late 20s or early 30s, overshadowed by a sense of melancholy due to her unfortunate experiences with marriage proposals. Her clothing is traditional, but perhaps less vibrant.})"
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:PARTICIPATED_IN],"(:Event {name: Ganga and Nakulan Arriving at Madampalli, description: The initial event that brings the protagonists to the mansion, marking the start of the main storyline., priority: 4})"
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:PARTICIPATED_IN],"(:Event {name: Opening of Thekkini Room by Ganga, description: Ganga's act of opening the forbidden room, driven by curiosity. This event is the catalyst for the supernatural occurrences that follow., priority: 5})"
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:PARTICIPATED_IN],"(:Event {name: Dr. Sunny's Arrival and Investigation, description: Dr. Sunny arrives to investigate the supernatural events. Marks a turning point in the narrative., priority: 5})"
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:PARTICIPATED_IN],"(:Event {name: Ganga's Disappearance and Discovery, description: A suspenseful event where Ganga goes missing and is later found. Adds a significant layer of mystery and tension., priority: 4})"
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:PARTICIPATED_IN],"(:Event {name: Revelation of Ganga's Split Personality, description: The discovery that Ganga suffers from a split personality disorder. A major plot twist., priority: 5})"
"(:Character {name: Nakulan, description: In his late 20s, Nakulan combines a modern, urban outlook with respect for his heritage. His attire might be a mix of contemporary casual wear and traditional Kerala clothing, symbolizing his transition from Kolkata to Kerala.})",[:PARTICIPATED_IN],"(:Event {name: Final Confrontation on Durgashtami, description: The ""Final Confrontation on Durgashtami"" event in the movie is a climactic and suspenseful culmination set against the eerie backdrop of the family mansion, Madampalli, on the significant day of Durgashtami. This pivotal scene reveals Ganga struggle with split personality disorder, where she oscillates between her own identity and that of Nagavalli. In a strategic plan crafted by Dr. Sunny, a psychiatrist, and executed with the help of Brahmadathan Namboothiripad, a tantric expert, Ganga is led to believe she is fulfilling Nagavalli revenge by beheading Nakulan, her husband, who is disguised as the Karanavar - the original target of Nagavalli wrath. At the critical moment, Brahmadathan intervenes, using smoke and ash to distract Ganga, while Sunny cleverly substitutes Nakulan with a dummy, deceiving Ganga alter ego into believing she has achieved her vengeance. This elaborate ruse successfully liberates Ganga from Nagavalli influence, resolving the haunting and psychological disturbances that have plagued the family, and bringing the story to a dramatic and resolving close., priority: 5})"
"(:Location {name: Cottage Next to the Mansion, description: A modest structure in comparison to the mansion, possibly made of traditional materials like wood and stone, with minimal furnishings.})",[:HISTORICALLY_SIGNIFICANT_TO],"(:Location {name: Madampalli, description: A grand Kerala-style mansion with an aura of age and mystery. The architecture is traditional, with woodwork, large verandas, and sloping tiled roofs. Surrounded by lush greenery, with a haunted reputation.})"
"(:Location {name: Cottage Next to the Mansion, description: A modest structure in comparison to the mansion, possibly made of traditional materials like wood and stone, with minimal furnishings.})",[:TAKES_PLACE_AT],"(:Event {name: Revelation of Madampalli's Haunted Past, description: The disclosure of the mansion's tragic and supernatural history, including the story of Nagavalli. This context sets the stage for the supernatural events., priority: 3})"
